g_id,name,adduct,mz,mass,z,ccs,ccs_type,ccs_method,smi,ref
"CCSBASE_C4B6CF0FE6","1-Methylnicotinamide","[M]+",137.0715,137.0715,1,126.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[N+]1=CC=CC(=C1)C(=O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_D0DE2590C2","7-Methylguanosine","[M]+",298.1151,298.1151,1,166.50,"DT","single field calibrated with Agilent tune mix (Agilent)","CN1C=[N+](C2=C1C(=O)N=C(N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_FC56BC6B13","Thiamine pyrophosphate","[M]+",425.0444,425.0444,1,182.00,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O.[Cl-]","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_8A71E86DA2","beta-Nicotinamide D-ribonucleotide","[M]+",335.0639,335.0639,1,165.20,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_D4448E3E51","Androsterone","[M+H-H2O]+",273.2218,273.2218,1,166.60,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_34ECAC7A82","trans-Dehydroandrosterone","[M+H-H2O]+",271.2061,271.2061,1,166.00,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_D58A15E527","Homogentisic acid","[M+H-H2O]+",151.0395,151.0395,1,135.90,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1O)CC(=O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_CBBCD1DF8F","beta-Estradiol","[M+H-H2O]+",255.1748,255.1748,1,159.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_F733EB1A53","Norepinephrine","[M+H-H2O]+",152.0711,152.0711,1,137.30,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1[C@H](CN)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_0598ACB0F2","Norepinephrine","[M+H-H2O]+",152.0711,152.0711,1,136.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1[C@H](CN)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_DFFDF43F22","Quinolinate","[M+H-H2O]+",150.0191,150.0191,1,130.50,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(N=C1)C(=O)O)C(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_619609C96A","3alpha,11beta,21-Trihydroxy-5beta-pregnan-20-one","[M+H-H2O]+",333.2429,333.2429,1,179.60,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_AD6361BE62","DL-Vanillylmandelic acid","[M+H-H2O]+",181.0500,181.0500,1,133.30,"DT","single field calibrated with Agilent tune mix (Agilent)","COC1=C(C=CC(=C1)C(C(=O)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_D71700A01A","Tryptamine","[M+H-H2O]+",143.0972,143.0972,1,125.10,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC=C2C(=C1)C(=CN2)CCN","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_7381C4BF82","4-Hydroxybenzoate","[M+H-H2O]+",121.0289,121.0289,1,119.00,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=CC=C1C(=O)O)[O-]","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_91B3A1CEA6","Taurolithocholic acid","[M+H-H2O]+",466.2990,466.2990,1,220.60,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_731176BFAE","Lithocholic acid","[M+H-H2O]+",359.2949,359.2949,1,193.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_145CB59DBF","Anthranilic acid","[M+H-H2O]+",120.0449,120.0449,1,118.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC=C(C(=C1)C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_C03DEC64AA","Lathosterol","[M+H-H2O]+",369.3521,369.3521,1,204.50,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_368885A65E","Lanosterol","[M+H-H2O]+",409.3834,409.3834,1,207.30,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_FDB98F8200","Thioctic acid","[M+H-H2O]+",189.0407,189.0407,1,133.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C1CSSC1CCCCC(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_0FE9FA50EB","Protocatechuic acid","[M+H-H2O]+",137.0238,137.0238,1,122.30,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1C(=O)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_1C72C77E45","3,4-Dihydroxymandelic acid","[M+H-H2O]+",167.0344,167.0344,1,132.00,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1C(C(=O)O)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_A5902F1BE6","Caffeic Acid","[M+H-H2O]+",163.0395,163.0395,1,129.90,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1/C=C/C(=O)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_B48A9CF283","4-Hydroxycinnamic acid","[M+H-H2O]+",147.0445,147.0445,1,127.00,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=CC=C1/C=C/C(=O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_4424E22D2E","Phenylpropiolic acid","[M+H-H2O]+",129.0340,129.0340,1,121.20,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC=C(C=C1)C#CC(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_EB02EEAB4B","Nervonic acid","[M+H-H2O]+",349.3470,349.3470,1,196.80,"DT","single field calibrated with Agilent tune mix (Agilent)","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_95AAB3B697","9-cis-Retinoic acid","[M+H-H2O]+",283.2061,283.2061,1,169.60,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_CEB318EB5C","trans-2-Hydroxycinnamic acid","[M+H-H2O]+",147.0445,147.0445,1,124.10,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC=C(C(=C1)/C=C/C(=O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_F024B12F71","Desmosterol","[M+H-H2O]+",367.3364,367.3364,1,199.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_4E4EB49C27","Pantetheine","[M+H-H2O]+",261.1272,261.1272,1,164.60,"DT","single field calibrated with Agilent tune mix (Agilent)","CC(C)(CO)[C@H](C(=O)NCCC(=O)NCCS)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_276962B3F0","21-Hydroxypregnenolone","[M+H-H2O]+",315.2323,315.2323,1,178.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CC[C@@H](C4)O)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_148C38CC85","22beta-Hydroxycholesterol","[M+H-H2O]+",385.3470,385.3470,1,205.20,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_8B5E4F56FA","Formylanthranilic acid","[M+H-H2O]+",148.0398,148.0398,1,125.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC=C(C(=C1)C(=O)O)NC=O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_115CCDA50B","Synephrine","[M+H-H2O]+",150.0918,150.0918,1,134.40,"DT","single field calibrated with Agilent tune mix (Agilent)","CNCC(C1=CC=C(C=C1)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
