PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_SUBSTANCE_COMMENT
"CCSBASE_C4B6CF0FE6","1-Methylnicotinamide","C[N+]1=CC=CC(=C1)C(=O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D0DE2590C2","7-Methylguanosine","CN1C=[N+](C2=C1C(=O)N=C(N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_FC56BC6B13","Thiamine pyrophosphate","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O.[Cl-]","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8A71E86DA2","beta-Nicotinamide D-ribonucleotide","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D4448E3E51","Androsterone","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_34ECAC7A82","trans-Dehydroandrosterone","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D58A15E527","Homogentisic acid","C1=CC(=C(C=C1O)CC(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_CBBCD1DF8F","beta-Estradiol","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F733EB1A53","Norepinephrine","C1=CC(=C(C=C1[C@H](CN)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0598ACB0F2","Norepinephrine","C1=CC(=C(C=C1[C@H](CN)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_DFFDF43F22","Quinolinate","C1=CC(=C(N=C1)C(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_619609C96A","3alpha,11beta,21-Trihydroxy-5beta-pregnan-20-one","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_AD6361BE62","DL-Vanillylmandelic acid","COC1=C(C=CC(=C1)C(C(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D71700A01A","Tryptamine","C1=CC=C2C(=C1)C(=CN2)CCN","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7381C4BF82","4-Hydroxybenzoate","C1=CC(=CC=C1C(=O)O)[O-]","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_91B3A1CEA6","Taurolithocholic acid","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_731176BFAE","Lithocholic acid","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_145CB59DBF","Anthranilic acid","C1=CC=C(C(=C1)C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_C03DEC64AA","Lathosterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_368885A65E","Lanosterol","C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_FDB98F8200","Thioctic acid","C1CSSC1CCCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0FE9FA50EB","Protocatechuic acid","C1=CC(=C(C=C1C(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_1C72C77E45","3,4-Dihydroxymandelic acid","C1=CC(=C(C=C1C(C(=O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A5902F1BE6","Caffeic Acid","C1=CC(=C(C=C1/C=C/C(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_B48A9CF283","4-Hydroxycinnamic acid","C1=CC(=CC=C1/C=C/C(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4424E22D2E","Phenylpropiolic acid","C1=CC=C(C=C1)C#CC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_EB02EEAB4B","Nervonic acid","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_95AAB3B697","9-cis-Retinoic acid","CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_CEB318EB5C","trans-2-Hydroxycinnamic acid","C1=CC=C(C(=C1)/C=C/C(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F024B12F71","Desmosterol","C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4E4EB49C27","Pantetheine","CC(C)(CO)[C@H](C(=O)NCCC(=O)NCCS)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_276962B3F0","21-Hydroxypregnenolone","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CC[C@@H](C4)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_148C38CC85","22beta-Hydroxycholesterol","C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8B5E4F56FA","Formylanthranilic acid","C1=CC=C(C(=C1)C(=O)O)NC=O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_115CCDA50B","Synephrine","CNCC(C1=CC=C(C=C1)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_B0A580A54C","1-Stearoyl-sn-glycerol","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_62B996143F","L-leucyl-L-proline","CC(C)C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_CC69D4A221","3-Hydroxy-L-kynurenine","C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0870EDB8B1","4-Oxoretinol","CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_5303840951","Coniferol","COC1=C(C=CC(=C1)/C=C/CO)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0F305A96EF","Sinapyl alcohol","COC1=CC(=CC(=C1O)OC)/C=C/CO","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8179EAF063","Epinephrine","CNC[C@@H](C1=CC(=C(C=C1)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_24B6EB62AD","Taurine","C(CS(=O)(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_5E7E3A6465","Glucosamine","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_75093F9083","Cortexolone","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
